u,v,length,name
321772536,12638644994,230.1674789160875,Vía 10
321772536,5010576734,486.6388182696105,Calle El Guayabal
321772553,8861454566,113.47081472702507,Vía 10
321772553,5010576719,428.2239394932418,Vía 10
321772553,8861454551,2928.864854974026,Calle Río Yama
321772581,12164727008,4470.961173041657,Vía 10
321772581,3967204076,298.9999296416347,Vía 10
321772581,8861454641,1033.2632477586942,Calle Mata de Caña
321772640,5979649595,13.436240529734835,Calle Alto June
321772640,12641368276,96.99764406711284,Vía 10
321772640,12164727008,298.24615959603824,Vía 10
321772661,8863785786,1332.0673102368517,Vía 10
321772661,3075182296,1267.9054553008266,Vía 10
321772661,3075182285,828.9206440157054,Vía 413
321772734,3075163778,807.7442368104582,Vía 10
321772734,497089571,1031.1402152127284,Vía 10
321772734,3075163772,188.97646709349053,Calle Bajo Mora
332473457,1430564023,96.72740248485393,Calle 4
332473457,3954355141,92.53491765760424,Avenida 2 Independencia
332473457,3966914300,46.023642756056105,Avenida 2 Independencia
457205736,5010353349,384.59435652331143,Calle 13
457205736,4222954955,166.07893265928385,Vía 414
457205736,7731926287,545.0934487706163,Vía 414
457205743,5543372741,100.74972990420726,Calle 5
457205743,766949053,71.13642287237948,Vía 414
457205743,3930969678,108.2536365420141,Vía 414
457206178,7732018053,42.14347585252884,Calle San Joaquín
457206178,8861709089,1375.3002701380717,Calle San Joaquín
457206178,12165852250,234.4503840279333,Calle Los Solís
471047481,560112092,115.32549906086511,"['Calle 5', 'Avenida 0 Monge Dumani']"
471047481,471047489,93.49963200813109,Avenida 0 Monge Dumani
